BAIRRO,TOTAL DE HABITANTES,NÂ° DE DOMICILIOS,INSCRITOS,REGIONAL,TOTAL INSCRITOS NA REGIONAL
GANCHINHO,7325,1921,53,BAIRRO NOVO,1313
SITIO CERCADO,102410,27914,1256,,
UMBARA,14595,387,4,,
BACACHERI,23106,7107,4589,BOA VISTA,7252
BOA VISTA,29391,9212,2569,,
SANTA CANDIDA,27870,7937,94,,
ALTO BOQUEIRAO,51155,14301,494,BOQUEIRAO,10574
BOQUEIRAO,68495,19750,9946,,
HAUER,13851,4240,134,,
CAJURU,89784,14301,465,CAJURU,1740
CAPAO DA IMBUIA,20976,6209,75,,
UBERABA,60338,15482,1200,,
AUGUSTA,3617,995,0,CIDADE INSDUSTRIAL,0
RIVIERA,203,62,0,,
SAO MIGUEL,4911,1247,0,,
AGUA VERDE,49866,17045,42,FAZENDINHA-PORTAO,467
PORTAO,40735,13183,425,,
VILA IZABEL,10949,751,0,,
REBOUCAS,15618,5813,45,MATRIZ,145
SAO FRANCISCO,6435,2198,12,,
CABRAL,11720,3774,88,,
CAXIMBA,2475,631,45,PINHEIRINHO,157
PINHEIRINHO,27907,13839,69,,
TATUQUARA,36339,9525,43,,
SANTA FELICIDADE,25209,7202,32,SANTA FELICIDADE,847
SANTO INACIO,6037,1683,149,,
SAO BRAZ,23119,6600,666,,